user_id,user_name,user_email,user_phone_number,created_at,tenant_id,user_address
USR-00001,Diane Hubbard,brian61@example.org,7677905522,2026-05-09 07:00:27,TNT-0088,"{""street"": ""092 Chelsey Neck Apt. 732"", ""city"": ""Christinefort"", ""state"": ""NV"", ""zipcode"": ""14169""}"
USR-00002,Martin Becker,briangeorge@example.net,7342818936,2026-05-28 07:00:27,TNT-0030,"{""street"": ""317 Stephanie Courts Apt. 305"", ""city"": ""Brittanyhaven"", ""state"": ""TN"", ""zipcode"": ""73072""}"
USR-00003,Kaitlin Williams,clarkejessica@example.net,6615502784,2026-05-16 00:00:27,TNT-0125,"{""street"": ""2123 Howard Parks Suite 541"", ""city"": ""Bethanyside"", ""state"": ""HI"", ""zipcode"": ""21928""}"
USR-00004,Kathy Carter,richard45@example.org,9266579371,2026-05-05 17:00:27,TNT-0051,"{""street"": ""948 Paul Pines"", ""city"": ""Amandaville"", ""state"": ""ND"", ""zipcode"": ""46785""}"
USR-00005,Justin Rivas MD,patriciacarlson@example.com,7784455603,2026-05-27 18:00:27,TNT-0137,"{""street"": ""0372 Julie Valleys"", ""city"": ""Jessicafurt"", ""state"": ""SD"", ""zipcode"": ""59708""}"
USR-00006,Robin Clark,fcortez@example.com,8614421700,2026-05-08 08:00:27,TNT-0077,"{""street"": ""78849 Watkins Flat Apt. 734"", ""city"": ""South Samantha"", ""state"": ""ME"", ""zipcode"": ""89486""}"
USR-00007,Zachary Bailey,powersthomas@example.net,6255505166,2026-06-01 08:00:27,TNT-0072,"{""street"": ""2524 Shaw Greens"", ""city"": ""Jenniferstad"", ""state"": ""HI"", ""zipcode"": ""65475""}"
USR-00008,Donna Jones,gmoreno@example.org,9820004069,2026-05-16 15:00:27,TNT-0107,"{""street"": ""879 Doyle Keys"", ""city"": ""Osborneside"", ""state"": ""VT"", ""zipcode"": ""72617""}"
USR-00009,James Church,julie30@example.org,9585213625,2026-06-04 05:00:27,TNT-0191,"{""street"": ""48616 Davis Street"", ""city"": ""New Nathanborough"", ""state"": ""GA"", ""zipcode"": ""79081""}"
USR-00010,Annette King,wkelly@example.org,6806623311,2026-05-07 13:00:27,TNT-0075,"{""street"": ""846 Davidson Views"", ""city"": ""Johntown"", ""state"": ""MP"", ""zipcode"": ""69774""}"
